x,cos_loss,cos,sin_loss,sin,tan_loss,tan,output
1.2845623,0.19354757882380036,0.0887939035671525,0.03280167566845782,0.9593139670208494,10.0,10.0,0.0887939035671525
1.2847369,0.19349115607446812,0.08868285437503556,0.03277211052500906,0.9593632408148872,10.0,10.0,0.08868285437503556
1.2849115,0.19343458481376982,0.0885719450951,0.03274252516950793,0.9594124853725626,10.0,10.0,0.0885719450951
1.285086,0.19337786498408785,0.08846117579006715,0.03271291968546408,0.9594617006923748,10.0,10.0,0.08846117579006715
1.2852606,0.19332102157759548,0.08835064923946892,0.0326833135129837,0.9595108492659806,10.0,10.0,0.08835064923946892
1.2854351,0.19326400458040122,0.08824015993564559,0.03265366804665926,0.9595600061278724,10.0,10.0,0.08824015993564559
1.2856096,0.19320683885127596,0.08812981078498197,0.03262400270359811,0.9596091337474052,10.0,10.0,0.08812981078498197
1.285784,0.19314958390682085,0.08801967006220239,0.032594342999001324,0.9596581946831397,10.0,10.0,0.08801967006220239
1.2859586,0.19309212065570813,0.08790960129783283,0.032564638163883664,0.9597072638357724,10.0,10.0,0.08790960129783283
1.2861333,0.19303450852440085,0.08779967285019837,0.03253491370583961,0.9597563037415585,10.0,10.0,0.08779967285019837
1.2863076,0.19297677333575045,0.08768998670735903,0.032505189205290774,0.9598052770259724,10.0,10.0,0.08768998670735903
1.2864822,0.19291886344413717,0.08758033891495144,0.03247542577964779,0.9598542584558944,10.0,10.0,0.08758033891495144
1.2866567,0.1928608045386895,0.08747083158823313,0.03244564298677266,0.9599032106344902,10.0,10.0,0.08747083158823313
1.2868313,0.19280262285811017,0.08736156631896348,0.03241586047613898,0.9599520962541583,10.0,10.0,0.08736156631896348
1.2870058,0.1927442659397274,0.08725233993071993,0.03238603922867178,0.9600009899479424,10.0,10.0,0.08725233993071993
1.2871803,0.19268575988837144,0.08714325414262059,0.03235619887150598,0.9600498543859287,10.0,10.0,0.08714325414262059
1.287355,0.19262710466753197,0.08703430899628349,0.03232633949091146,0.960098689566628,10.0,10.0,0.08703430899628349
1.2875295,0.192568300242287,0.08692550453173802,0.03229646117335061,0.9601474954885522,10.0,10.0,0.08692550453173802
1.287704,0.1925094071758526,0.08681690804874101,0.03226658952118289,0.9601962349556735,10.0,10.0,0.08681690804874101
1.2878785,0.19245027075001406,0.08670841856137626,0.03223666777267831,0.9602449823779069,10.0,10.0,0.08670841856137626
1.288053,0.19239101865527433,0.08660003623561915,0.03220673318708267,0.9602937005369068,10.0,10.0,0.08660003623561915
1.2882276,0.19233167810994112,0.08649186173559224,0.03217680554991409,0.9603423523035971,10.0,10.0,0.08649186173559224
1.2884021,0.19227212742563493,0.08638376100661997,0.03214683388034978,0.9603910119540013,10.0,10.0,0.08638376100661997
1.2885767,0.19221242736077562,0.08627580116623026,0.03211684379640323,0.9604396423367219,10.0,10.0,0.08627580116623026
1.288751,0.19215260568124193,0.08616808235039707,0.032086855194411346,0.9604882063896438,10.0,10.0,0.08616808235039707
1.2889256,0.19209260692271796,0.08606040424152672,0.032056828566905504,0.9605367782548795,10.0,10.0,0.08606040424152672
1.2891002,0.1920324587167945,0.08595286710341013,0.03202678378871415,0.9605853208479893,10.0,10.0,0.08595286710341013
1.2892748,0.19197216104429624,0.08584547096033288,0.03199672094810457,0.960633834167494,10.0,10.0,0.08584547096033288
1.2894495,0.19191171388760764,0.08573821583502061,0.031966640133512136,0.9606823182119153,10.0,10.0,0.08573821583502061
1.2896237,0.19185114570756637,0.08563120120078507,0.03193656135013634,0.9607307360307743,10.0,10.0,0.08563120120078507
1.2897984,0.19179039967331085,0.08552422804197037,0.03190644487489536,0.9607791615429296,10.0,10.0,0.08552422804197037
1.2899729,0.19172950411126705,0.08541739595984771,0.03187631069186592,0.9608275577755727,10.0,10.0,0.08541739595984771
1.2901474,0.1916685209190129,0.08531077101031695,0.0318461845044119,0.9608758878452134,10.0,10.0,0.08531077101031695
1.290322,0.19160732636236172,0.08520422104238058,0.03181601517981669,0.9609242255367445,10.0,10.0,0.08520422104238058
1.2904965,0.1915459822481069,0.08509781219628296,0.03178582841506383,0.9609725339443423,10.0,10.0,0.08509781219628296
1.290671,0.1914845178712907,0.08499164314975324,0.03175564434318934,0.9610207762515157,10.0,10.0,0.08499164314975324
1.2908456,0.19142287476021935,0.08488551645070413,0.03172542298772585,0.9610690261091714,10.0,10.0,0.08488551645070413
1.2910202,0.19136108207539387,0.08477953090497785,0.031695184461050685,0.9611172466784812,10.0,10.0,0.08477953090497785
1.2911946,0.19129916952895262,0.08467378479246637,0.03166494895895666,0.9611654012099624,10.0,10.0,0.08467378479246637
1.2913691,0.19123707782857374,0.08456808144318317,0.0316346763805031,0.961213563220516,10.0,10.0,0.08456808144318317
1.2915437,0.1911748365518158,0.08446251926518336,0.0316043869010596,0.9612616959383189,10.0,10.0,0.08446251926518336
1.2917182,0.19111244570078464,0.08435709826147533,0.031574080610999644,0.9613097993619042,10.0,10.0,0.08435709826147533
1.2918929,0.19104990527907578,0.08425181843357728,0.0315437576008295,0.9613578734898061,10.0,10.0,0.08425181843357728
1.2920673,0.19098727823289166,0.08414674485934018,0.03151344364532038,0.9614058816842568,10.0,10.0,0.08414674485934018
1.2922418,0.19092440628513863,0.08404177978948772,0.031483082011068864,0.9614538972387464,10.0,10.0,0.08404177978948772
1.2924163,0.1908614173252411,0.08393692335225177,0.031452709404997004,0.9615018834931612,10.0,10.0,0.08393692335225177
1.2925909,0.19079834204629065,0.08383227289775956,0.031422346144026614,0.9615498038767689,10.0,10.0,0.08383227289775956
1.2927654,0.19073505410795633,0.08372769870163162,0.031391940921128625,0.9615977315490002,10.0,10.0,0.08372769870163162
1.29294,0.19067161665133237,0.08362326565960758,0.031361519523649406,0.9616456299167733,10.0,10.0,0.08362326565960758
1.2931144,0.19060806091745303,0.08351907059300179,0.03133110237087966,0.9616934624764015,10.0,10.0,0.08351907059300179
1.2932891,0.19054432460467527,0.08341491970047757,0.03130064891812723,0.9617413022532356,10.0,10.0,0.08341491970047757
1.2934636,0.19048043881940308,0.0833109099316061,0.03127017956513134,0.9617891127212365,10.0,10.0,0.0833109099316061
1.2936381,0.19041640357977252,0.08320704127336798,0.031239694403585316,0.9618368938789468,10.0,10.0,0.08320704127336798
