x,cos_loss,cos,sin_loss,sin,tan_loss,tan
1.0611602,0.48604950462369595,0.0018101661386972015,0.12707629087436767,0.8729220707735653,10.0,10.0
1.0629056,0.4845343630977648,0.0018009940557636402,0.12622614222153095,0.8737722359873595,10.0,10.0
1.0646509,0.4830177677461991,0.001791852500138035,0.1253786874916245,0.8746197071393957,10.0,10.0
1.0663961,0.48149966559735163,0.0017827409726812336,0.12453389678662041,0.8754645141294292,10.0,10.0
1.0681415,0.4799800614509462,0.0017736593256855943,0.12369177268095166,0.8763066543841095,10.0,10.0
1.0698869,0.4784589020554276,0.0017646070676687765,0.12285228576871032,0.8771461573110261,10.0,10.0
1.0716323,0.47693625015866187,0.0017555843998438001,0.1220154707842046,0.8779829881763155,10.0,10.0
1.0733775,0.47541216873974684,0.0017465915198615508,0.12118136204590269,0.8788171126619654,10.0,10.0
1.0751228,0.47388660455764037,0.001737627939093283,0.12034993012345585,0.8796485601999773,10.0,10.0
1.076868,0.4723595624295873,0.0017286935145888092,0.11952117755055469,0.8804773282576953,10.0,10.0
1.0786135,0.4708309888391602,0.0017197877651591014,0.11869507539132984,0.8813034457725981,10.0,10.0
1.0803589,0.46930094683588186,0.0017109108910686936,0.11787165782941778,0.8821268785614725,10.0,10.0
1.0821042,0.4677694996968008,0.001702063089090045,0.11705095863064441,0.8829475928589269,10.0,10.0
1.0838495,0.46623659391590155,0.0016932438807741774,0.11623294883458435,0.8837656176269683,10.0,10.0
1.0855948,0.4647022343277842,0.001684453127738894,0.11541763093399626,0.8845809503738277,10.0,10.0
1.0873401,0.4631663671555828,0.0016756903587661156,0.11460497646525569,0.8853936195646696,10.0,10.0
1.0890855,0.4616290557457113,0.001666955773121435,0.11379501905872591,0.8862035915695341,10.0,10.0
1.0908308,0.46009036366838707,0.0016582495666469855,0.11298779192502062,0.8870108331782216,10.0,10.0
1.0925761,0.4585502371570488,0.0016495712707566637,0.11218326657584643,0.8878153728805394,10.0,10.0
1.0943215,0.4570086810634759,0.001640920751455101,0.11138144546284279,0.8886172082257946,10.0,10.0
1.0960668,0.45546564135480305,0.001632297547186661,0.11058230059680108,0.8894163672046703,10.0,10.0
1.0978122,0.4539211816695439,0.001623701856170566,0.10978586505225141,0.8902128167430209,10.0,10.0
1.0995575,0.45237536586627436,0.0016151338732724725,0.1089921714820673,0.8910065241883678,10.0,10.0
1.1013027,0.45082813992232207,0.001606593139465254,0.10820119187226063,0.8917975175561487,10.0,10.0
1.1030481,0.44927950870646,0.001598079524966596,0.10741292863316687,0.8925857944369338,10.0,10.0
1.1047934,0.44772941793426935,0.0015895925775868207,0.10662735425212744,0.8933713823447931,10.0,10.0
1.1065388,0.44617793153154256,0.0015811324944592935,0.10584450124532252,0.8941542487639137,10.0,10.0
1.1082841,0.44462511364038115,0.0015726994694275427,0.10506440170539966,0.8949343616020251,10.0,10.0
1.1100295,0.4430709099864435,0.0015642930527309338,0.1042870280948126,0.8957117483980614,10.0,10.0
1.1117747,0.44151532545529615,0.0015559131186384276,0.10351238278241093,0.8964864067840401,10.0,10.0
1.11352,0.4399583055154217,0.0015475592240415115,0.10274043873418492,0.8972583637953222,10.0,10.0
1.1152655,0.43839991437504694,0.0015392315649471523,0.10197122790548907,0.898027587476904,10.0,10.0
1.1170107,0.4368402164549377,0.0015309303341397627,0.10120478182630233,0.898794046299167,10.0,10.0
1.118756,0.4352791572335296,0.0015226550908453776,0.10044107343762054,0.8995577673224446,10.0,10.0
1.1205014,0.43371674161298024,0.0015144057132250644,0.09968010506662872,0.9003187482203816,10.0,10.0
1.1222469,0.432152855139521,0.0015061814537575282,0.09892182128790061,0.9010770444201702,10.0,10.0
1.1239921,0.4305877413377732,0.0014979834469559662,0.09816634010991387,0.901832537912253,10.0,10.0
1.1257374,0.42902128586345345,0.0014898109448417925,0.09741360588119796,0.9025852843498605,10.0,10.0
1.1274827,0.4274534936318372,0.0014816638285825353,0.0966636208954802,0.9033352814400669,10.0,10.0
1.129228,0.4258843695614588,0.001473541980082474,0.09591638743810682,0.9040825268983204,10.0,10.0
1.1309735,0.42431379870587255,0.0014654446651955063,0.09517185109099502,0.9048270751443951,10.0,10.0
1.1327188,0.4227420256258816,0.0014573730027526075,0.0944301277231483,0.9055688103082532,10.0,10.0
1.134464,0.4211689354825604,0.0014493262581390274,0.09369116268949729,0.9063077870366499,10.0,10.0
1.1362094,0.4195945332073821,0.001441304316151905,0.09295495824179201,0.9070440030786027,10.0,10.0
1.1379546,0.4180188237350345,0.0014333070622952256,0.09222151662336697,0.907777456191538,10.0,10.0
1.1397,0.41644169163556666,0.0014253337754370052,0.09149078442763126,0.9085081997836671,10.0,10.0
1.1414454,0.41486338248694904,0.0014173855590298688,0.09076287537528782,0.9092361201332962,10.0,10.0
1.1431906,0.4132837809647776,0.0014094616914613277,0.09003773583183361,0.9099612708765432,10.0,10.0
1.1449361,0.4117028920164952,0.0014015620610193463,0.0893153680068719,0.9106836498045403,10.0,10.0
1.1466813,0.41012072059271004,0.0013936865566731597,0.08859577410155595,0.9114032547168633,10.0,10.0
1.1484268,0.4085371507891631,0.0013858344699531613,0.0878789017248568,0.9121201380060932,10.0,10.0
1.150172,0.40695242918190777,0.0013780068892324398,0.08716486244051558,0.9128341881075404,10.0,10.0
1.1519173,0.40536643997024857,0.0013702031055516095,0.08645360362868326,0.9135454576426009,10.0,10.0
1.1536626,0.40377918811735963,0.00136242301055842,0.0857451274566492,0.9142539444446903,10.0,10.0
1.155408,0.4021906785895319,0.0013546664965573172,0.08503943608321973,0.9149596463557008,10.0,10.0
1.1571534,0.4006007950174158,0.0013469328674040174,0.08433647813692058,0.9156626147485933,10.0,10.0
1.1588987,0.3990097849559973,0.0013392231966817554,0.08363636301603372,0.916362740224179,10.0,10.0
1.160644,0.3974175321374977,0.0013315367877485818,0.0829390391193745,0.917060074385124,10.0,10.0
1.1623893,0.39582404154057815,0.001323873535486436,0.08224450857175436,0.9177546151072927,10.0,10.0
1.1641345,0.3942293181469675,0.0013162333354102935,0.08155277348947021,0.918446360275058,10.0,10.0
1.16588,0.3926332451314634,0.0013086155033776373,0.08086378352451706,0.9191353602378485,10.0,10.0
1.1676253,0.3910360710087702,0.001301021098462946,0.08017764590138587,0.9198215077703067,10.0,10.0
